address,city,state,zip_code,property_type,lot_size_sqft,sold_date,sale_price($),lot_size_acres,latitude,longitude,price_per_acre,cluster,cluster_label,cluster_optimal,cluster_label_optimal,sold_month,sold_year,cluster_final,cluster_label_final,geo_cluster,neighborhood_name,area_cluster,area_name,manual_cluster,final_area_name,sold_quarter,sold_month_num
1221 Linger Longer Dr,Greensboro,GA,30642,Land,52707,2025-07-28,615000,1.21,33.41131402,-83.20656932,508264.46280991734,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,7
1051 Big Water Cir,Greensboro,GA,30642,Land,26136,2025-03-28,150000,0.6,33.46811258,-83.26336791,250000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q1,3
1000 Curtright Pl,Greensboro,GA,30642,Land,27443,2025-04-23,500000,0.63,33.41110072,-83.20452235,793650.7936507936,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,4
0 E Broad St,Greensboro,GA,30642,Land,30492,2024-11-22,28000,0.7,33.5784582,-83.1703827,40000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-11,2024,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2024Q4,11
1290 Fairway Ridge Dr,Greensboro,GA,30642,Land,27443,2025-07-02,270000,0.63,33.47011861,-83.26278949,428571.4285714286,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,7
1150 Swift Crk,Greensboro,GA,30642,Land,172497,2025-05-12,600000,3.96,33.44807531,-83.20880298,151515.15151515152,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,5
1050 Akers Knl,Greensboro,GA,30642,Land,28314,2024-11-22,285000,0.65,33.44353719,-83.21784598,438461.53846153844,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,11
1020 Jackson Ln,Greensboro,GA,30642,Land,30492,2024-11-15,366500,0.7,33.40763283,-83.21016299,523571.4285714286,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2024Q4,11
1190 Curtright Pl,Greensboro,GA,30642,Land,21780,2025-07-30,2300000,0.5,33.41263754,-83.19886015,4600000.0,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-07,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,7
1130 Liberty Bluff Rd,Greensboro,GA,30642,Land,26572,2024-10-15,280000,0.61,33.40505299,-83.21220862,459016.39344262297,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2024Q4,10
1201 Maple Ridge Way,Greensboro,GA,30642,Land,52272,2025-04-18,370000,1.2,33.42424708,-83.22512017,308333.3333333334,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,4
1041 Dejarnet Ct,Greensboro,GA,30642,Land,43996,2025-03-14,391000,1.01,33.4218211,-83.22424749,387128.71287128713,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q1,3
1380 Armour Rd,Greensboro,GA,30642,Land,65819,2025-09-03,216000,1.51,33.47827254,-83.18212581,143046.35761589403,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-09,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q3,9
1051 Pebble Hill Ln,Greensboro,GA,30642,Land,27878,2025-08-25,53000,0.64,33.47358041,-83.25886368,82812.5,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,8
1241 Rose Crk,Greensboro,GA,30642,Land,34848,2025-01-08,479000,0.8,33.45723585,-83.21662461,598750.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-01,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q1,1
2200 Geer Rd,Union Point,GA,30669,Land,1750589,2024-10-04,195000,40.19,33.68305246,-83.15162806,4851.9532221945765,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-10,2024,0,Mainstream Economy - Large Lots,-1,,5,North Greensboro Affordable Neighborhood,1,Union Point Affordable Area,2024Q4,10
1011 Oliver Crk,Greensboro,GA,30642,Land,30492,2025-04-14,460000,0.7,33.4545362,-83.22897518,657142.8571428572,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,4
1310 Ham Fork Rd,Union Point,GA,30669,Land,4286304,2024-10-31,450000,98.4,33.68898623,-83.08113812,4573.170731707317,3,Premium Tier - High Value Areas,1,Budget Tier - Affordable Land,2024-10,2024,0,Mainstream Economy - Large Lots,-1,,9,Union Point Mid-Range Area,1,Union Point Affordable Area,2024Q4,10
106 Pinecrest Dr,Greensboro,GA,30642,Land,13939,2025-02-14,19000,0.32,33.57728886,-83.17181977,59375.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-02,2025,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q1,2
1148 Pond Crest Ln,Greensboro,GA,30642,Land,30928,2024-11-07,650000,0.71,33.4656902,-83.26660841,915492.957746479,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2024Q4,11
1117 Grove Ridge Vw,Greensboro,GA,30642,Land,30928,2024-10-03,675000,0.71,33.473562,-83.266369,950704.2253521127,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2024Q4,10
0 Lamb Ave,Union Point,GA,30669,Land,74923,2024-11-11,38000,1.72,33.6112019,-83.0679606,22093.023255813954,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-11,2024,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,1,Union Point Affordable Area,2024Q4,11
Town Creek Blvd,Greensboro,GA,30642,Land,288803,2025-01-29,266112,6.63,33.5533773,-83.2049736,40137.55656108597,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,5,West Greensboro Mid-Range Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q1,1
1215 Howells Grove Rd,Greensboro,GA,30642,Land,48352,2025-05-01,750000,1.11,33.4087961,-83.1923823,675675.6756756756,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2025Q2,5
