address,city,state,zip_code,latitude,longitude,sale_price($),lot_size_acres,price_per_acre,final_area_name,sold_date,price_tier,undervalued_flag
1221 Linger Longer Dr,Greensboro,GA,30642,33.41131402,-83.20656932,615000,1.21,508264.46280991734,South West Greensboro Premium District,2025-07-28,Luxury,False
1051 Big Water Cir,Greensboro,GA,30642,33.46811258,-83.26336791,150000,0.6,250000.0,South West Greensboro Mid-Range District,2025-03-28,Mid-Range,False
1000 Curtright Pl,Greensboro,GA,30642,33.41110072,-83.20452235,500000,0.63,793650.7936507936,South West Greensboro Premium District,2025-04-23,Premium,False
0 E Broad St,Greensboro,GA,30642,33.5784582,-83.1703827,28000,0.7,40000.0,Central Greensboro Mid-Range District,2024-11-22,Budget,False
1290 Fairway Ridge Dr,Greensboro,GA,30642,33.47011861,-83.26278949,270000,0.63,428571.4285714286,South West Greensboro Mid-Range District,2025-07-02,Premium,False
1150 Swift Crk,Greensboro,GA,30642,33.44807531,-83.20880298,600000,3.96,151515.15151515152,South West Greensboro Premium District,2025-05-12,Luxury,False
1050 Akers Knl,Greensboro,GA,30642,33.44353719,-83.21784598,285000,0.65,438461.53846153844,South West Greensboro Premium District,2024-11-22,Premium,False
1020 Jackson Ln,Greensboro,GA,30642,33.40763283,-83.21016299,366500,0.7,523571.4285714286,South West Greensboro Premium District,2024-11-15,Premium,False
1190 Curtright Pl,Greensboro,GA,30642,33.41263754,-83.19886015,2300000,0.5,4600000.0,South West Greensboro Premium District,2025-07-30,Luxury,False
1130 Liberty Bluff Rd,Greensboro,GA,30642,33.40505299,-83.21220862,280000,0.61,459016.39344262297,South West Greensboro Premium District,2024-10-15,Premium,False
1201 Maple Ridge Way,Greensboro,GA,30642,33.42424708,-83.22512017,370000,1.2,308333.3333333334,South West Greensboro Premium District,2025-04-18,Premium,False
1041 Dejarnet Ct,Greensboro,GA,30642,33.4218211,-83.22424749,391000,1.01,387128.71287128713,South West Greensboro Premium District,2025-03-14,Premium,False
1380 Armour Rd,Greensboro,GA,30642,33.47827254,-83.18212581,216000,1.51,143046.35761589403,South Greensboro Mid-Range District,2025-09-03,Mid-Range,False
1051 Pebble Hill Ln,Greensboro,GA,30642,33.47358041,-83.25886368,53000,0.64,82812.5,South West Greensboro Mid-Range District,2025-08-25,Budget,False
1241 Rose Crk,Greensboro,GA,30642,33.45723585,-83.21662461,479000,0.8,598750.0,South West Greensboro Premium District,2025-01-08,Premium,False
2200 Geer Rd,Union Point,GA,30669,33.68305246,-83.15162806,195000,40.19,4851.9532221945765,Union Point Affordable Area,2024-10-04,Mid-Range,True
1011 Oliver Crk,Greensboro,GA,30642,33.4545362,-83.22897518,460000,0.7,657142.8571428572,South West Greensboro Premium District,2025-04-14,Premium,False
1310 Ham Fork Rd,Union Point,GA,30669,33.68898623,-83.08113812,450000,98.4,4573.170731707317,Union Point Affordable Area,2024-10-31,Premium,True
106 Pinecrest Dr,Greensboro,GA,30642,33.57728886,-83.17181977,19000,0.32,59375.0,Central Greensboro Mid-Range District,2025-02-14,Budget,False
1148 Pond Crest Ln,Greensboro,GA,30642,33.4656902,-83.26660841,650000,0.71,915492.957746479,South West Greensboro Mid-Range District,2024-11-07,Luxury,False
1117 Grove Ridge Vw,Greensboro,GA,30642,33.473562,-83.266369,675000,0.71,950704.2253521127,South West Greensboro Mid-Range District,2024-10-03,Luxury,False
0 Lamb Ave,Union Point,GA,30669,33.6112019,-83.0679606,38000,1.72,22093.023255813954,Union Point Affordable Area,2024-11-11,Budget,True
Town Creek Blvd,Greensboro,GA,30642,33.5533773,-83.2049736,266112,6.63,40137.55656108597,Central Greensboro Mid-Range District,2025-01-29,Premium,False
1215 Howells Grove Rd,Greensboro,GA,30642,33.4087961,-83.1923823,750000,1.11,675675.6756756756,South West Greensboro Premium District,2025-05-01,Luxury,False
1165 Howells Grove Rd,Greensboro,GA,30642,33.4086647,-83.1932342,825000,1.18,699152.5423728814,South West Greensboro Premium District,2025-05-21,Luxury,False
1142 Village Overlook,Greensboro,GA,30642,33.41190202,-83.21958047,290000,0.15,1933333.3333333335,South West Greensboro Premium District,2025-07-10,Premium,False
2101 Sandy Frd,Greensboro,GA,30642,33.4601656,-83.2202131,630000,0.67,940298.5074626865,South West Greensboro Premium District,2025-09-19,Luxury,False
0 Town Creek Blvd,Greensboro,GA,30642,33.5533773,-83.2049736,783552,27.86,28124.62311557789,Central Greensboro Mid-Range District,2025-05-12,Luxury,True
2131 Grey Land Rd,Greensboro,GA,30642,33.5467702,-83.1107542,62500,5.0,12500.0,East Greensboro Affordable District,2025-07-22,Budget,True
1051 Oliver Crk,Greensboro,GA,30642,33.45498123,-83.22911342,350000,1.08,324074.07407407404,South West Greensboro Premium District,2024-12-10,Premium,False
0 Old Eatonton Rd,Greensboro,GA,30642,33.5482982,-83.2081726,655690,22.61,29000.0,Central Greensboro Mid-Range District,2025-01-31,Luxury,True
1010 Osprey Cir,Greensboro,GA,30642,33.46265695,-83.20151027,130000,0.57,228070.17543859652,South Greensboro Mid-Range District,2025-04-02,Mid-Range,False
2371 Club Dr,Greensboro,GA,30642,33.47894152,-83.19750128,87500,1.01,86633.66336633664,South Greensboro Mid-Range District,2024-11-21,Budget,False
1041 Longview Cmns,Greensboro,GA,30642,33.4031128,-83.1873634,230000,0.12,1916666.6666666667,South West Greensboro Premium District,2024-11-05,Mid-Range,False
1071 Scull Shoals Dr,Greensboro,GA,30642,33.4190994,-83.2145485,150000,0.92,163043.47826086957,South West Greensboro Premium District,2025-06-27,Mid-Range,False
1071 Katherine Ln,Greensboro,GA,30642,33.44036783,-83.24649842,356000,1.05,339047.61904761905,South West Greensboro Premium District,2025-08-07,Premium,False
1070 Cloudland Ct,Greensboro,GA,30642,33.46293547,-83.21172259,1500000,1.28,1171875.0,South Greensboro Mid-Range District,2024-10-25,Luxury,False
1080 Clearwater Dr,White Plains,GA,30678,33.4006947,-83.1691906,55000,1.65,33333.333333333336,White Plains Affordable Area,2025-01-27,Budget,True
LOT 4 Penfield Rd,Greensboro,GA,30642,33.6254558,-83.1675932,106000,10.2,10392.156862745098,Central Greensboro Mid-Range District,2025-05-07,Mid-Range,True
2111 Bethany Rd,Greensboro,GA,30642,33.54531227,-83.04812861,30000,3.08,9740.25974025974,East Greensboro Affordable District,2024-12-20,Budget,True
1157 Village Overlook,Greensboro,GA,30642,33.41217379,-83.21930712,300000,0.17,1764705.882352941,South West Greensboro Premium District,2025-08-25,Premium,False
1152 Village Overlook,Greensboro,GA,30642,33.41213107,-83.21944742,300000,0.14,2142857.1428571427,South West Greensboro Premium District,2025-09-09,Premium,False
1141 Pond Crest Ln,Greensboro,GA,30642,33.46587489,-83.26649156,590000,0.66,893939.3939393939,South West Greensboro Mid-Range District,2024-10-11,Luxury,False
2681 Old Union Point Rd,Greensboro,GA,30642,33.6040473,-83.11571106,20000,1.22,16393.44262295082,East Greensboro Affordable District,2025-01-17,Budget,True
1207 Howells Grove Rd,Greensboro,GA,30642,33.4087961,-83.1923823,725000,0.87,833333.3333333334,South West Greensboro Premium District,2025-04-29,Luxury,False
5280 Veazey Rd,Greensboro,GA,30642,33.4702191,-83.112341,76999,6.08,12664.309210526315,South East Greensboro Affordable Area,2025-02-21,Budget,True
1026 Pond Crest Ln,Greensboro,GA,30642,33.4669093,-83.26377141,800000,0.98,816326.530612245,South West Greensboro Mid-Range District,2025-05-05,Luxury,False
1165 Village Overlook,Greensboro,GA,30642,33.41234178,-83.21929607,380000,0.2,1900000.0,South West Greensboro Premium District,2025-06-30,Premium,False
0 Granite Dr,Greensboro,GA,30642,33.448377,-83.1730639,74500,3.61,20637.119113573408,South Greensboro Mid-Range District,2025-09-19,Budget,True
1051 Shoulderbone Cir,Greensboro,GA,30642,33.43060014,-83.2266892,105000,1.07,98130.84112149532,South West Greensboro Premium District,2025-06-27,Mid-Range,False
3191 Syrup Mill Xing,Greensboro,GA,30642,33.47692285,-83.11492875,216000,12.0,18000.0,South East Greensboro Affordable Area,2024-10-18,Mid-Range,True
2460 Cherokee Dr,Greensboro,GA,30642,33.46257115,-83.20969483,59000,1.22,48360.65573770492,South Greensboro Mid-Range District,2024-12-17,Budget,False
1031 Bridle Bit Ln,Greensboro,GA,30642,33.47012467,-83.2368947,395000,0.53,745283.0188679245,South West Greensboro Premium District,2025-03-25,Premium,False
